ID,Address,Short PC,PC,Price_£,Offer,Period,Status,House Type,Bed,Bath,Recpt,Heating,Windows,Window Type,Garage Description,Garage Size,Garage Type,Driveway,Parking,Garden,Basement,Roofspace,Conservatory,EPC Rating,Rates,Acres,sq ft,Listing Date,Time at this price,Description,URL,Date stamp
357269,"24 Rosetta Park, Rosetta / Ravenhill, Belfast",BT6,BT6 0DJ,300000,Asking price,,For sale,Detached house,5,,3,,oil heating/sash windows,unknown,attached garage,single,attached,Y,Y,Y,,,,G1/G19,"£2,610.36 pa",,,,1.4k,5 Bed Detached house For Sale,http://www.propertypal.com/24-rosetta-park-rosetta-ravenhill-belfast/357269,20160507
357236,"27 Sunderland Road, Cregagh, Belfast",BT6,BT6 9LY,149950,Price,,For sale,Semi-detached house,3,,2,gas,,unknown,garage,single,detached,Y,Y,Y,,,,D56/D66,£942.63 pa,,,,689,3 Bed Semi-detached house For Sale,http://www.propertypal.com/27-sunderland-road-cregagh-belfast/357236,20160507
357188,"The Alexander, Site 23, Ilford Park, Crossnacreevey, Belfast",BT6,BT6 9SG,210000,Asking price,,For sale,Detached house,3,3,1,oil,,unknown,,,,,Y,Y,,,,,,,,,143,3 Bed Detached house For Sale,http://www.propertypal.com/the-alexander-site-23-ilford-park-crossnacreevey-belfast/357188,20160507
357039,"12 Ardenlee Parade, Belfast",BT6,BT6 0AL,170000,Price,,For sale,Semi-detached house,3,,1,gas,,unknown,,,,Y,Y,Y,,,,E49/D59,"£1,087.65 pa",,,,327,3 Bed Semi-detached house For Sale,http://www.propertypal.com/12-ardenlee-parade-belfast/357039,20160507
356949,"59 Loopland Drive, Cregagh, Belfast",BT6,BT6 9DW,130000,Offers around,,For sale,Semi-detached house,3,,2,oil,pvc double glazed windows,double,attached garage,single,attached,Y,Y,Y,,Y,,F31/D59,£833.87 pa,,,,345,3 Bed Semi-detached house For Sale,http://www.propertypal.com/59-loopland-drive-cregagh-belfast/356949,20160507
356672,"82 Ravenhill Avenue, Belfast",BT6,BT6 8LG,105000,Guide price,,For sale,Terrace house,4,,,gas,double glazed windows in upvc frames,double,,,,,,,,,,E43/D62,£797.61 pa,,,,985,4 Bed Terrace house For Sale,http://www.propertypal.com/82-ravenhill-avenue-belfast/356672,20160507
356518,"35 Flush Park, Rosetta, Belfast",BT6,BT6 0GE,119950,Asking price,,For sale,Terrace house,3,1,1,oil,,unknown,,,,,,Y,,,,E54/C69,£833.87 pa,,,,506,3 Bed Terrace house For Sale,http://www.propertypal.com/35-flush-park-rosetta-belfast/356518,20160507
355833,"Apartment 66 6 Bell Towers South, Belfast",BT6,BT6 0GR,119950,Offers around,,For sale,Apartment,1,,1,gas,double glazed windows,double,,,,,Y,,,,,B84/B88,,,,,232,1 Bed Apartment For Sale,http://www.propertypal.com/apartment-66-6-bell-towers-south-belfast/355833,20160507
355419,"16 Stracam Corner, Cregagh, Belfast",BT6,BT6 0EN,82500,Offers around,,For sale,Terrace house,3,,2,gas,,unknown,,,,,,Y,,,,D56/D67,£616.33 pa,,,,424,3 Bed Terrace house For Sale,http://www.propertypal.com/16-stracam-corner-cregagh-belfast/355419,20160507
354880,"10 Ardenlee Green, Ravenhill Road, Belfast",BT6,BT6 8QF,164950,Offers around,,For sale,Town House,4,,1,,,unknown,,,,,Y,Y,,,,,"£1,341.44 pa",,,,595,4 Bed Town House For Sale,http://www.propertypal.com/10-ardenlee-green-ravenhill-road-belfast/354880,20160507
354793,"29 Hillsborough Drive, Cregagh, Belfast",BT6,BT6 9DS,194950,Offers around,,For sale,Semi-detached house,3,,2,gas,,unknown,,,,,Y,Y,,Y,,C72/C72,"£1,196.42 pa",,,,302,3 Bed Semi-detached house For Sale,http://www.propertypal.com/29-hillsborough-drive-cregagh-belfast/354793,20160507
354505,"43 Ladas Drive, Belfast",BT6,BT6 9FR,125000,Offers over,,For sale,Semi-detached house,3,1,2,oil,,unknown,,,,,,Y,,,,F31/D66,"£1,015.14 pa",,,,823,3 Bed Semi-detached house For Sale,http://www.propertypal.com/43-ladas-drive-belfast/354505,20160507
247977,"30 Donard Street, Belfast",BT6,BT6 8EL,30000,Guide price,,For sale,Terrace house,2,,1,,,unknown,,,,,,,,,,E52,£489.44 pa,,,,656,2 Bed Terrace house For Sale,http://www.propertypal.com/30-donard-street-belfast/247977,20160507
354095,"52 Beechgrove Drive, Upper Knockbreda Road, Belfast",BT6,BT6 0NW,239950,Asking price,,For sale,Detached house,4,2,3,,,unknown,attached garage,single,attached,,Y,Y,,,,E47/D67,"£1,703.99 pa",,,,627,4 Bed Detached house For Sale,http://www.propertypal.com/52-beechgrove-drive-upper-knockbreda-road-belfast/354095,20160507
353966,"71A Mount Merrion Avenue, Cregagh, Belfast",BT6,BT6 0FL,65000,Offers around,,For sale,Apartment,2,,1,oil,,unknown,,,,,,Y,,,,,,,,,328,2 Bed Apartment For Sale,http://www.propertypal.com/71a-mount-merrion-avenue-cregagh-belfast/353966,20160507
353957,"36A Willowfield Gardens, Cregagh, Belfast",BT6,BT6 9AZ,109950,Price,,For sale,Apartment,2,,1,gas,,unknown,,,,,Y,Y,,,,C78/B81,£652.59 pa,,,,261,2 Bed Apartment For Sale,http://www.propertypal.com/36a-willowfield-gardens-cregagh-belfast/353957,20160507
353865,"22 Downshire Park East, Cregagh Road, Belfast",BT6,BT6 9JP,105000,Offers around,,For sale,Terrace house,2,,1,gas,,unknown,,,,Y,Y,Y,,,Y,C71/C78,£725.10 pa,,,,208,2 Bed Terrace house For Sale,http://www.propertypal.com/22-downshire-park-east-cregagh-road-belfast/353865,20160507
353734,"115 Mount Merrion Avenue, Cregagh, Belfast",BT6,BT6 0FN,95000,Price,,For sale,Terrace house,3,,1,gas,,unknown,,,,,Y,Y,,,,D58/D63,£580.08 pa,,,,264,3 Bed Terrace house For Sale,http://www.propertypal.com/115-mount-merrion-avenue-cregagh-belfast/353734,20160507
353202,"10 Beech Park, Belfast",BT6,BT6 9PG,134950,Offers around,,For sale,Semi-detached house,3,,1,oil,,unknown,,,,Y,Y,Y,,Y,,D58/D65,£706.97 pa,,,,297,3 Bed Semi-detached house For Sale,http://www.propertypal.com/10-beech-park-belfast/353202,20160507
352933,"37A Hillsborough Drive, Belfast",BT6,BT6 9DS,149950,Offers over,,For sale,Semi-detached house,3,,2,gas,,unknown,,,,Y,Y,Y,,,,D68/C74,,,,,540,3 Bed Semi-detached house For Sale,http://www.propertypal.com/37a-hillsborough-drive-belfast/352933,20160507
352412,"45 Wynchurch Road, Belfast",BT6,BT6 0JH,180000,Offers around,,For sale,Semi-detached house,3,1,3,oil,,unknown,,,,,Y,Y,,,Y,E43/D66,"£1,087.65 pa",,,,165,3 Bed Semi-detached house For Sale,http://www.propertypal.com/45-wynchurch-road-belfast/352412,20160507
352889,"24 Hamel Drive, Cregagh Road, Belfast",BT6,BT6 9JG,135000,Offers around,,For sale,Semi-detached house,4,,1,oil,,unknown,,,,Y,Y,Y,,,,D56/D64,"£1,015.14 pa",,,,234,4 Bed Semi-detached house For Sale,http://www.propertypal.com/24-hamel-drive-cregagh-road-belfast/352889,20160507
352105,"7 Rosetta Way, Belfast",BT6,BT6 0DN,89950,Offers around,,For sale,Apartment,1,,1,gas,,unknown,,,,,Y,Y,,,,D62/D67,£507.57 pa,,,,318,1 Bed Apartment For Sale,http://www.propertypal.com/7-rosetta-way-belfast/352105,20160507
351147,"26 Cregagh Court, Belfast",BT6,BT6 9PS,120000,Offers around,,For sale,Apartment,2,,1,,,unknown,,,,,Y,Y,,,,D64/C79,£833.87 pa,,,,177,2 Bed Apartment For Sale,http://www.propertypal.com/26-cregagh-court-belfast/351147,20160507
350802,"11 Carncaver Road, Castlereagh, Belfast",BT6,BT6 9NN,92500,Offers around,,For sale,Terrace house,3,,1,gas,,unknown,,,,,,Y,,,,D65/C73,£616.33 pa,,,,172,3 Bed Terrace house For Sale,http://www.propertypal.com/11-carncaver-road-castlereagh-belfast/350802,20160507
350611,"23 Cregagh Court, Cregagh, Belfast",BT6,BT6 9PS,115000,Offers around,,For sale,Apartment,2,,1,,,unknown,,,,,Y,,,,,E52/C74,£833.87 pa,,,,127,2 Bed Apartment For Sale,http://www.propertypal.com/23-cregagh-court-cregagh-belfast/350611,20160507
350247,"22 Lismain Street, Belfast",BT6,BT6 8NN,95000,Offers over,,For sale,Terrace house,4,1,1,oil,,unknown,,,,,,,,,,,£725.10 pa,,,,247,4 Bed Terrace house For Sale,http://www.propertypal.com/22-lismain-street-belfast/350247,20160507
349298,"415 Cregagh Road, Belfast",BT6,BT6 0LF,189950,Asking price,,For sale,Semi-detached house,4,1,2,oil,,unknown,"detached garage with light, power and an up &amp; over door",single,detached,Y,Y,Y,,,,G20/F36,"£1,268.93 pa",,,,309,4 Bed Semi-detached house For Sale,http://www.propertypal.com/415-cregagh-road-belfast/349298,20160507
348670,"149A Mount Merrion Avenue, East Belfast, Belfast",BT6,BT6 0FN,54950,Price,,For sale,Apartment,2,1,,,,unknown,,,,Y,Y,,,,,D62,,,,,336,2 Bed Apartment For Sale,http://www.propertypal.com/149a-mount-merrion-avenue-east-belfast-belfast/348670,20160507
